symbol,name,reportDate,percentChanges,meanAbsolutePercentChange
NEO,Neogenomics Inc,2024-11-05,"['17.96%', '-8.54%', '12.11%', '14.2%', '-3.04%', '18.51%', '24.57%', '25.35%']",15.54%
NEWP,New Pacific Metals Corp - New,2024-11-05,"['4.07%', '-1.47%', '-1.83%', '-1.81%', '-0.81%', '5.2%']",2.53%
NMRK,Newmark Group Inc - Class A,2024-11-05,"['-5.26%', '0.1%', '4.62%', '14.81%', '-0.29%', '-1.02%', '-4.27%', '-14.67%']",5.63%
PHXHF,PHXHF,2024-11-05,['0.57%'],0.57%
PROP,PROP,2024-11-05,"['14.83%', '-2.32%', '-2.33%']",6.49%
PSAHF,PSAHF,2024-11-05,['0.0%'],0.0%
PTRRY,PTRRY,2024-11-05,['-3.76%'],3.76%
PSBD,Palmer Square Capital BDC Inc,2024-11-05,"['0.25%', '-0.48%', '2.12%']",0.95%
PALT,Paltalk Inc,2024-11-05,"['3.85%', '1.57%', '-14.32%', '2.38%', '-3.35%', '7.08%', '3.57%', '0.69%']",4.6%
PAAS,Pan American Silver Corp,2024-11-05,"['-4.47%', '10.74%', '-2.32%', '-9.14%', '3.86%', '-3.93%', '-3.11%', '6.96%']",5.57%
PAX,Patria Investments Ltd - Class A,2024-11-05,"['-7.84%', '-5.08%', '3.7%', '1.11%', '2.92%', '-4.93%', '8.78%', '-1.05%']",4.43%
PAYS,PaySign Inc,2024-11-05,"['-8.63%', '-2.14%', '18.34%', '13.53%', '7.57%', '-2.68%', '4.83%', '-13.47%']",8.9%
PAYO,Payoneer Global Inc,2024-11-05,"['23.24%', '12.64%', '-19.6%', '-2.1%', '11.44%', '-8.99%', '13.79%', '-15.42%']",13.4%
PETQ,PetIQ Inc - Class A,2024-11-05,"['47.89%', '5.89%', '-0.6%', '-3.1%', '8.1%', '16.12%', '9.23%', '36.36%']",15.91%
PXLW,Pixelworks Inc,2024-11-05,"['4.94%', '-35.29%', '-1.78%', '-7.81%', '2.53%', '11.03%', '-9.79%', '4.29%']",9.68%
AGS,PlayAGS Inc,2024-11-05,"['-0.26%', '26.56%', '-1.3%', '-14.39%', '16.25%', '-7.61%', '3.15%', '-21.33%']",11.36%
PINC,Premier Inc - Class A,2024-11-05,"['1.05%', '-6.32%', '2.77%', '0.77%', '-3.34%', '-19.31%', '1.6%', '-8.92%']",5.51%
QLYS,Qualys Inc,2024-11-05,"['-8.58%', '-9.78%', '-4.24%', '11.31%', '4.05%', '7.72%', '-0.56%', '-16.02%']",7.78%
RADLY,RADLY,2024-11-05,['4.27%'],4.27%
RVRF,RVRF,2024-11-05,['0.0%'],0.0%
RYAM,Rayonier Advanced Materials Inc,2024-11-05,"['30.12%', '1.75%', '-21.2%', '1.64%', '-23.06%', '-16.61%', '22.02%', '34.23%']",18.83%
SPG,Simon Property Group Inc,2024-11-05,"['-0.84%', '5.06%', '2.43%', '4.82%', '4.33%', '-4.59%', '-3.98%', '-2.13%']",3.52%
TSLX,Sixth Street Specialty Lending Inc,2024-11-05,"['-0.14%', '-4.09%', '0.0%', '1.97%', '4.29%', '-0.27%', '2.91%', '-0.55%']",1.78%
SLNO,Soleno Therapeutics Inc,2024-11-05,"['2.55%', '-5.56%', '-3.09%', '-0.48%', '-1.36%', '-6.25%', '-2.8%', '7.39%']",3.69%
MSC,Studio City International Holdings Ltd,2024-11-05,"['0.96%', '-4.0%', '0.15%', '1.52%', '-1.41%', '3.56%', '11.43%', '4.83%', '7.26%', '-2.47%', '-4.37%']",3.81%
STKL,Sunopta Inc,2024-11-05,"['13.04%', '3.72%', '16.97%', '9.64%', '-23.3%', '-4.93%', '8.22%', '-16.0%']",11.98%
SMCI,Super Micro Computer Inc,2024-11-05,"['-20.14%', '-14.03%', '3.49%', '-2.53%', '-23.39%', '28.27%', '10.24%', '12.5%']",14.32%
SNDX,Syndax Pharmaceuticals Inc,2024-11-05,"['-4.36%', '-3.45%', '-2.17%', '0.14%', '-2.9%', '6.55%', '-1.93%', '0.45%']",2.74%
TCNNF,TCNNF,2024-11-05,"['12.49%', '2.75%', '-1.22%', '1.63%', '-0.59%', '-2.96%', '-4.13%', '-2.53%']",3.54%
THNCF,THNCF,2024-11-05,['0.0%'],0.0%
TTHYF,TTHYF,2024-11-05,['0.0%'],0.0%
TRGP,Targa Resources Corp,2024-11-05,"['0.61%', '0.52%', '5.58%', '7.25%', '0.79%', '-2.86%', '3.1%', '4.01%']",3.09%
BLD,TopBuild Corp,2024-11-05,"['-7.12%', '-5.02%', '-5.23%', '4.27%', '4.14%', '-4.96%', '3.64%', '-7.62%']",5.25%
TMCI,Treace Medical Concepts Inc,2024-11-05,"['-2.4%', '-62.5%', '-5.98%', '-37.9%', '-14.36%', '-3.7%', '21.11%', '5.04%']",19.12%
TFPM,Triple Flag Precious Metals Corp,2024-11-05,"['3.75%', '-2.5%', '-0.48%', '0.76%']",1.87%
USPH,U.S. Physical Therapy Inc,2024-11-05,"['-9.29%', '-1.58%', '6.41%', '-2.92%', '-9.18%', '1.98%', '0.78%', '-2.58%']",4.34%
WHLRP,Wheeler Real Estate Investment Trust Inc,2024-11-05,['-18.04%'],18.04%
XOMA,XOMA Corp,2024-11-05,"['14.4%', '-2.11%', '-1.63%', '-6.44%', '-1.82%', '0.27%', '5.76%', '-3.92%']",4.54%
XOMAO,XOMA Corp,2024-11-05,['0.2%'],0.2%
XOMAP,XOMA Corp,2024-11-05,['0.1%'],0.1%
XNCR,Xencor Inc,2024-11-05,"['0.39%', '-4.5%', '-14.06%', '-7.01%', '3.55%', '-1.87%', '-3.07%', '8.75%']",5.4%
YOKEF,YOKEF,2024-11-05,['-13.14%'],13.14%
YUM,Yum Brands Inc,2024-11-05,"['2.65%', '-4.19%', '1.86%', '0.36%', '-1.0%', '-3.91%', '1.61%', '-0.66%']",2.03%
ZLDSF,ZLDSF,2024-11-05,"['0.0%', '0.0%']",0.0%
PLUS,ePlus Inc,2024-11-05,"['6.11%', '-0.04%', '-13.0%', '-8.69%', '15.2%', '5.29%', '9.15%', '5.55%']",7.88%
ETNB,89bio Inc,2024-11-06,"['-5.36%', '-4.39%', '10.03%', '-4.86%', '3.34%', '3.16%', '-5.96%', '17.96%']",6.88%
AMRK,A-Mark Precious Metals Inc,2024-11-06,"['9.13%', '-5.43%', '-3.43%', '-6.79%', '10.93%', '3.97%', '-11.59%', '13.25%']",8.06%
ABSSF,ABSSF,2024-11-06,['-3.13%'],3.13%
AETUF,AETUF,2024-11-06,['0.0%'],0.0%
AHODF,AHODF,2024-11-06,['5.75%'],5.75%
AHOTF,AHOTF,2024-11-06,['2.35%'],2.35%
AKAAF,AKAAF,2024-11-06,['0.0%'],0.0%
ALB-PA,ALB-PA,2024-11-06,['0.18%'],0.18%
ALTG-PA,ALTG-PA,2024-11-06,['-2.32%'],2.32%
ALVOF,ALVOF,2024-11-06,['3.54%'],3.54%
AMGXF,AMGXF,2024-11-06,['0.0%'],0.0%
AMVMF,AMVMF,2024-11-06,['10.51%'],10.51%
APA,APA Corporation,2024-11-06,"['-0.35%', '-4.33%', '-3.88%', '0.2%', '6.79%', '-5.59%', '3.33%', '6.89%']",3.92%
ARKAF,ARKAF,2024-11-06,['3.06%'],3.06%
ATROB,ATROB,2024-11-06,['0.0%'],0.0%
AVD,American Vanguard Corp,2024-11-06,"['-37.48%', '-27.69%', '21.81%', '2.32%', '-16.36%', '-13.04%', '4.58%', '-3.92%']",15.9%
AMPY,Amplify Energy Corp,2024-11-06,"['15.54%', '-7.54%', '2.62%', '-6.08%', '-4.61%', '8.36%', '-17.3%', '-2.42%']",8.06%
ANSS,Ansys Inc,2024-11-06,"['-1.21%', '-2.16%', '3.56%', '-2.12%', '-6.12%', '-1.63%', '10.48%', '1.25%']",3.57%
APP,Applovin Corp - Class A,2024-11-06,"['14.2%', '14.45%', '24.81%', '-1.1%', '26.49%', '23.53%', '27.05%', '18.49%']",18.77%
ABUS,Arbutus Biopharma Corp,2024-11-06,"['1.06%', '-0.37%', '-2.78%', '-1.6%', '-0.96%', '1.59%', '0.0%', '-0.81%']",1.15%
ARQT,Arcutis Biotherapeutics Inc,2024-11-06,"['-11.27%', '13.65%', '9.7%', '9.91%', '-4.48%', '-18.83%', '3.15%', '-0.43%']",8.93%
ARMN,Aris Mining Corp,2024-11-06,['-4.72%'],4.72%
ARQ,Arq Inc,2024-11-06,"['4.61%', '-5.24%', '46.69%']",18.85%
ASH,Ashland Inc,2024-11-06,"['-9.57%', '-0.87%', '15.91%', '-4.85%', '-1.12%', '-9.74%', '-0.8%', '5.3%']",6.02%
ASPN,Aspen Aerogels Inc,2024-11-06,"['16.0%', '56.7%', '15.56%', '11.28%', '0.54%', '18.4%', '11.13%', '3.74%']",16.67%
AC,Associated Capital Group Inc - Class A,2024-11-06,['0.55%'],0.55%
ASTE,Astec Industries Inc,2024-11-06,"['-0.32%', '-19.21%', '6.47%', '-22.2%', '4.12%', '5.07%', '4.66%', '-6.32%']",8.55%
ATRO,Astronics Corp,2024-11-06,"['-7.7%', '6.68%', '-1.74%', '-13.41%', '-19.45%', '5.03%', '-6.37%', '-14.38%']",9.34%
ATLCP,Atlanticus Holdings Corp,2024-11-06,['0.03%'],0.03%
ATO,Atmos Energy Corp,2024-11-06,"['-0.9%', '-0.75%', '0.11%', '1.85%', '-2.58%', '4.47%', '-0.38%', '8.39%']",2.43%
AUDC,Audiocodes,2024-11-06,"['4.35%', '-12.83%', '14.22%', '29.76%', '15.74%', '-1.6%', '-8.3%', '-8.69%']",11.94%
AVDL,Avadel Pharmaceuticals plc,2024-11-06,"['-2.24%', '-10.62%', '7.36%', '11.95%', '-4.89%', '4.98%', '-4.16%', '-7.88%']",6.76%
BBDC,Barings BDC Inc,2024-11-06,"['5.5%', '-1.36%', '4.9%', '-4.79%', '4.8%', '-0.68%', '-0.23%', '0.66%']",2.87%
BBSI,Barrett Business Services Inc,2024-11-06,"['0.6%', '-2.4%', '5.7%', '5.61%', '1.67%', '-4.91%', '-6.22%', '6.56%']",4.21%
BYND,Beyond Meat Inc,2024-11-06,"['24.62%', '-14.37%', '30.72%', '2.57%', '-14.27%', '-18.27%', '10.15%', '20.14%']",16.89%
BCDA,BioCardia Inc,2024-11-06,"['4.35%', '0.0%', '-2.38%', '-6.82%', '0.0%', '0.5%', '-4.61%', '-3.12%']",2.72%
BNGO,Bionano Genomics Inc,2024-11-06,"['-11.9%', '-6.98%', '6.52%', '1.68%', '-2.21%', '-3.37%', '5.41%', '-4.0%']",5.26%
BKH,Black Hills Corporation,2024-11-06,"['0.41%', '2.16%', '3.28%', '3.03%', '-2.5%', '2.22%', '-9.28%', '-2.43%']",3.16%
TCPC,BlackRock TCP Capital Corp,2024-11-06,"['-8.84%', '3.37%', '-3.94%', '5.07%', '2.07%', '1.73%', '-10.04%', '6.78%']",5.23%
OBDC,Blue Owl Capital Corp,2024-11-06,"['-0.68%', '-0.92%', '1.27%', '1.8%', '0.0%']",0.93%
BORR,Borr Drilling Ltd,2024-11-06,"['0.93%', '-3.32%', '0.47%', '-1.28%', '-3.52%', '0.14%', '4.69%', '-0.2%']",1.82%
BHR,Braemar Hotels & Resorts Inc,2024-11-06,"['-2.94%', '-7.89%', '5.9%', '-6.14%', '-22.76%', '-6.61%', '1.77%', '3.46%']",7.18%
BCO,Brink`s Company,2024-11-06,"['-6.55%', '2.17%', '4.24%', '6.41%', '-5.28%', '4.72%', '12.57%', '-6.63%']",6.07%
BKD,Brookdale Senior Living Inc,2024-11-06,"['-6.97%', '-4.89%', '-10.71%', '7.04%', '21.11%', '-1.0%', '10.6%', '-0.46%']",7.85%
BKDT,Brookdale Senior Living Inc,2024-11-06,['-4.38%'],4.38%
BMBL,Bumble Inc - Class A,2024-11-06,"['-29.16%', '11.49%', '-14.8%', '2.91%', '-7.67%', '-0.68%', '7.5%', '10.03%']",10.53%
CBDY,CBDY,2024-11-06,['-10.0%'],10.0%
CCNTF,CCNTF,2024-11-06,['0.0%'],0.0%
CCOJF,CCOJF,2024-11-06,['0.0%'],0.0%
CDNIF,CDNIF,2024-11-06,['0.0%'],0.0%
CFWFF,CFWFF,2024-11-06,['-0.32%'],0.32%
CHSCL,CHS Inc,2024-11-06,['0.27%'],0.27%
CURLF,CURLF,2024-11-06,"['5.93%', '0.0%', '-3.9%', '7.89%', '1.64%', '5.88%', '0.92%', '3.18%']",3.67%
CVS,CVS Health Corp,2024-11-06,"['-3.21%', '-16.84%', '3.1%', '-0.41%', '3.33%', '-3.68%', '3.47%', '2.3%']",4.54%
CYFL,CYFL,2024-11-06,"['0.09%', '0.0%']",0.04%
CDLX,Cardlytics Inc,2024-11-06,"['-57.1%', '-36.51%', '77.15%', '-54.45%', '19.79%', '-27.26%', '-8.65%']",40.13%
CPRX,Catalyst Pharmaceuticals Inc,2024-11-06,"['12.75%', '6.32%', '10.1%', '-1.75%', '6.37%', '-19.19%', '9.83%', '6.34%']",9.08%
CLBT,Cellebrite DI Ltd,2024-11-06,"['7.32%', '2.33%', '10.95%', '5.57%', '8.96%', '-3.3%', '13.9%', '-1.22%']",6.69%
CELH,Celsius Holdings Inc,2024-11-06,"['-2.35%', '-1.76%', '20.44%', '-1.55%', '20.45%', '19.76%', '6.34%', '13.43%']",10.76%
CERT,Certara Inc,2024-11-06,"['-13.59%', '-7.42%', '8.41%', '1.36%', '-7.65%', '-10.72%', '17.3%', '7.11%']",9.2%
CRL,Charles River Laboratories International Inc,2024-11-06,"['-12.6%', '-2.21%', '11.3%', '-3.74%', '4.64%', '5.07%', '-10.06%', '4.08%']",6.71%
CIM,Chimera Investment Corp,2024-11-06,"['7.03%', '11.08%', '-6.43%', '-1.84%', '-8.55%', '-3.06%', '-3.39%', '-8.92%']",6.29%
CHRD,Chord Energy Corp - New,2024-11-06,"['-1.58%', '0.86%', '-3.04%', '5.12%', '1.34%', '-1.13%', '3.93%', '2.83%']",2.48%
ELPC,Cia Paranaense De Energia Copel ADR (Representing ),2024-11-06,['-3.73%'],3.73%
CLVT,Clarivate Plc,2024-11-06,"['-12.2%', '-11.37%', '-17.45%', '2.96%', '-22.27%', '3.57%', '12.73%', '-3.02%']",10.7%
CLNE,Clean Energy Fuels Corp,2024-11-06,"['22.73%', '3.32%', '-3.95%', '-4.53%', '-6.68%', '3.0%', '-13.21%', '1.46%']",7.36%
CLOV,Clover Health Investments Corp - Class A,2024-11-06,"['-2.66%', '17.7%', '4.95%', '-18.14%', '4.51%', '-1.29%', '14.78%']",9.15%
CDE,Coeur Mining Inc,2024-11-06,"['5.08%', '4.59%', '3.1%', '-4.78%', '-9.2%', '-2.55%', '-3.53%', '-3.02%']",4.48%
COHR,Coherent Corp,2024-11-06,"['7.51%', '-4.52%', '17.36%', '0.0%', '-29.87%', '-4.98%', '-2.73%', '7.55%']",9.32%
CHRS,Coherus Biosciences Inc,2024-11-06,"['10.85%', '-10.38%', '-5.65%', '-30.23%', '17.74%', '-27.4%', '7.83%', '-12.27%']",15.29%
CNDT,Conduent Inc,2024-11-06,"['-13.73%', '10.79%', '2.06%', '-18.5%', '7.87%', '-12.54%', '-1.4%', '-4.25%']",8.89%
CORZ,Core Scientific Inc - New,2024-11-06,"['3.26%', '12.07%', '-6.21%']",7.18%
DNDPF,DNDPF,2024-11-06,['0.0%'],0.0%
DPZUF,DPZUF,2024-11-06,['0.0%'],0.0%
DRTTF,DRTTF,2024-11-06,"['5.34%', '-6.27%', '6.26%', '-10.9%']",7.19%
DLX,Deluxe Corp,2024-11-06,"['-10.34%', '8.45%', '7.93%', '8.77%', '6.82%', '-2.68%', '4.79%', '4.14%']",6.74%
APPS,Digital Turbine Inc,2024-11-06,"['61.8%', '-16.96%', '-24.4%', '-5.29%', '-8.29%', '-42.97%', '-23.94%', '60.91%']",30.57%
DIN,Dine Brands Global Inc,2024-11-06,"['-4.61%', '-0.05%', '0.71%', '-9.92%', '-1.96%', '2.11%', '-5.79%', '0.78%']",3.24%
DV,DoubleVerify Holdings Inc,2024-11-06,"['-2.13%', '-38.57%', '-21.28%', '5.63%', '-14.73%', '6.6%', '4.81%', '5.42%']",12.4%
BROS,Dutch Bros Inc - Class A,2024-11-06,"['-19.84%', '11.79%', '1.33%', '0.9%', '17.86%', '-11.96%', '-10.42%', '22.37%']",12.06%
EDRVF,EDRVF,2024-11-06,['0.0%'],0.0%
EFC-PA,EFC-PA,2024-11-06,['1.35%'],1.35%
EFC-PB,EFC-PB,2024-11-06,['0.07%'],0.07%
EFC-PC,EFC-PC,2024-11-06,['1.97%'],1.97%
EFC-PD,EFC-PD,2024-11-06,['-0.46%'],0.46%
EFC-PE,EFC-PE,2024-11-06,['1.3%'],1.3%
ELCMF,ELCMF,2024-11-06,['0.0%'],0.0%
ELTTF,ELTTF,2024-11-06,['0.0%'],0.0%
EREUF,EREUF,2024-11-06,['0.0%'],0.0%
ET-PI,ET-PI,2024-11-06,['0.0%'],0.0%
EVA,EVA,2024-11-06,"['0.0%', '-3.26%', '-77.86%', '1.71%', '-67.17%', '-13.43%', '0.44%', '-1.47%', '-9.76%', '0.04%']",17.51%
FECCF,FECCF,2024-11-06,['12.97%'],12.97%
FMMFF,FMMFF,2024-11-06,['0.0%'],0.0%
FRPH,FRP Holdings Inc,2024-11-06,"['4.85%', '0.66%', '-0.56%', '4.34%', '-0.67%', '1.45%', '-1.47%', '-0.88%']",1.86%
FSK,FS KKR Capital Corp,2024-11-06,"['-0.62%', '2.42%', '-5.85%', '0.51%', '-0.2%', '8.14%', '0.61%', '-3.96%']",2.79%
FSNUY,FSNUY,2024-11-06,['4.03%'],4.03%
FTCI,FTC Solar Inc,2024-11-06,"['-33.42%', '-15.27%', '-6.32%', '-64.45%', '-33.53%', '4.53%', '8.87%', '12.95%']",22.42%
FICO,Fair Isaac Corp,2024-11-06,"['-1.32%', '-6.94%', '-6.85%', '2.37%', '4.01%', '-0.92%', '2.2%', '31.1%']",6.96%
FFIE,Faraday Future Intelligent Electric Inc - Class A,2024-11-06,"['-24.4%', '-7.06%', '-62.05%', '-5.37%', '-9.76%', '25.26%', '2.72%', '-2.35%']",17.37%
FARO,Faro Technologies Inc,2024-11-06,"['5.27%', '-2.86%', '1.31%', '15.86%', '21.3%', '-43.51%', '0.1%', '7.1%']",12.16%
FSLY,Fastly Inc - Class A,2024-11-06,"['-14.33%', '-32.02%', '-30.59%', '15.58%', '23.04%', '-4.65%', '15.79%', '11.14%']",18.39%
FATE,Fate Therapeutics Inc,2024-11-06,"['-2.1%', '4.62%', '7.34%', '-8.58%', '-3.68%', '-2.37%', '-0.49%', '2.01%']",3.9%
GSM,Ferroglobe Plc,2024-11-06,"['2.35%', '7.35%', '-6.33%', '5.38%', '6.42%', '0.71%', '17.52%', '-17.86%']",7.99%
FNF,Fidelity National Financial Inc,2024-11-06,"['1.18%', '0.92%', '-5.4%', '3.41%', '2.82%', '-4.75%', '-5.72%', '-2.49%']",3.34%
FOA,Finance of America Companies Inc - Class A,2024-11-06,"['-0.97%', '0.0%', '-1.61%', '-28.22%', '-11.68%', '6.25%', '-0.69%']",7.06%
FRGE,Forge Global Holdings Inc - Class A,2024-11-06,"['3.82%', '-7.73%', '-21.51%', '-0.43%', '2.81%', '6.67%', '-0.56%', '5.41%']",6.12%
FSM,Fortuna Silver Mines Inc,2024-11-06,"['-0.48%', '-0.48%', '-2.63%', '1.66%', '1.73%', '-11.28%', '2.57%', '-5.57%']",3.3%
FBIN,Fortune Brands Innovations Inc,2024-11-06,"['9.1%', '-2.72%', '-3.96%', '1.23%', '-4.55%', '5.92%', '-0.22%', '1.02%']",3.59%
FNV,Franco-Nevada Corporation,2024-11-06,"['-6.42%', '-0.76%', '-2.68%', '-0.22%', '1.29%', '-0.15%', '0.94%']",1.78%
GOVX,Geovax Labs Inc,2024-11-06,"['-1.11%', '1.18%', '-0.78%', '-1.64%', '-0.72%', '-3.54%', '4.55%', '-0.39%']",1.74%
GILD,Gilead Sciences Inc,2024-11-06,"['-2.55%', '0.23%', '-4.25%', '-3.36%', '4.17%', '-1.6%', '3.82%', '12.92%']",4.11%
LAND,Gladstone Land Corp,2024-11-06,"['-1.29%', '1.3%', '-3.17%', '-4.96%', '-0.53%', '-2.79%', '1.17%', '1.66%']",2.11%
LANDM,Gladstone Land Corp,2024-11-06,['-0.29%'],0.29%
LANDO,Gladstone Land Corp,2024-11-06,['0.64%'],0.64%
LANDP,Gladstone Land Corp,2024-11-06,['0.12%'],0.12%
GMRE,Global Medical REIT Inc,2024-11-06,"['-3.67%', '3.54%', '-6.51%', '-0.54%', '5.18%', '-3.09%', '-2.29%', '3.21%']",3.5%
GNL,Global Net Lease Inc,2024-11-06,"['-2.29%', '0.42%', '-2.45%', '-1.54%', '0.48%', '-1.36%', '3.08%', '3.32%']",1.87%
GWRS,Global Water Resources Inc,2024-11-06,"['2.09%', '0.55%', '-5.07%', '4.84%', '-1.93%', '0.18%', '-1.66%', '5.28%']",2.7%
LOPE,Grand Canyon Education Inc,2024-11-06,"['-3.5%', '5.22%', '1.81%', '12.54%', '5.66%', '-2.03%', '3.01%', '14.86%']",6.08%
GPMT,Granite Point Mortgage Trust Inc,2024-11-06,"['-4.46%', '-12.56%', '-6.9%', '-0.85%', '-2.62%', '3.41%', '-1.63%']",4.63%
GEG,Great Elm Group Inc,2024-11-06,"['0.0%', '2.76%', '4.86%', '2.15%', '-2.75%', '5.21%', '1.95%', '3.5%']",2.9%
GHI,Greystone Housing Impact Investors LP,2024-11-06,"['-3.14%', '-3.02%', '-1.28%', '-0.72%', '0.25%', '-0.97%', '-2.72%', '-1.42%']",1.69%
GH,Guardant Health Inc,2024-11-06,"['-10.87%', '15.07%', '-12.8%', '-5.41%', '6.42%', '14.92%', '11.68%', '4.93%']",10.26%
GHLD,Guild Holdings Co - Class A,2024-11-06,"['5.53%', '4.09%', '0.0%', '3.91%', '5.53%', '1.63%', '-3.74%', '6.13%']",3.82%
HAGHY,HAGHY,2024-11-06,"['0.0%', '0.0%']",0.0%
HELKF,HELKF,2024-11-06,"['0.0%', '0.0%']",0.0%
HENKY,HENKY,2024-11-06,"['1.73%', '2.59%']",2.16%
HENOF,HENOF,2024-11-06,"['0.0%', '0.0%']",0.0%
HL-PB,HL-PB,2024-11-06,['3.87%'],3.87%
HLKHF,HLKHF,2024-11-06,['0.0%'],0.0%
HLLGY,HLLGY,2024-11-06,['0.0%'],0.0%
HYPMY,HYPMY,2024-11-06,['-1.97%'],1.97%
HG,Hamilton Insurance Group Ltd - Class B,2024-11-06,"['7.69%', '6.47%', '-0.48%', '-4.0%', '1.67%']",4.06%
HLNE,Hamilton Lane Inc - Class A,2024-11-06,"['-1.22%', '2.2%', '-5.68%', '-2.04%', '-0.25%', '-1.11%', '-1.46%', '3.08%']",2.13%
HCAT,Health Catalyst Inc,2024-11-06,"['37.77%', '-3.9%', '-8.15%', '1.18%', '-3.78%', '-17.49%', '2.58%', '23.34%']",12.27%
VATE,Innovate Corp,2024-11-06,"['-5.36%', '-4.47%', '4.2%', '-8.47%', '0.31%', '6.67%', '-5.35%', '12.44%']",5.91%
IIPR,Innovative Industrial Properties Inc,2024-11-06,"['1.27%', '-2.68%', '6.21%', '6.98%', '1.59%', '3.12%', '7.14%', '8.04%']",4.63%
IDN,Intellicheck Inc,2024-11-06,"['-28.37%', '1.69%', '74.86%', '-14.5%', '-3.02%', '-2.99%', '12.2%', '-13.88%']",18.94%
IONQ,IonQ Inc,2024-11-06,"['4.56%', '4.78%', '-7.99%', '-1.58%', '10.71%', '-9.54%', '21.06%', '-5.68%']",8.24%
IONS,Ionis Pharmaceuticals Inc,2024-11-06,"['3.76%', '-3.19%', '-1.85%', '-3.38%', '1.11%', '-2.22%', '-3.74%', '1.92%']",2.65%
IRM,Iron Mountain Inc,2024-11-06,"['6.81%', '-1.41%', '5.21%', '-0.52%', '-2.99%', '0.85%', '4.23%', '1.34%']",2.92%
JAIRF,JAIRF,2024-11-06,['0.0%'],0.0%
JQTMF,JQTMF,2024-11-06,['0.0%'],0.0%
JSLGY,JSLGY,2024-11-06,['0.0%'],0.0%
JWSM,Jaws Mustang Acquisition Corporation - Class A,2024-11-06,['-0.09%'],0.09%
JAZZ,Jazz Pharmaceuticals plc,2024-11-06,"['3.75%', '-0.92%', '-8.33%', '-9.14%', '1.64%', '0.41%', '2.73%', '7.07%', '-0.32%', '-2.67%']",3.7%
JOBY,Joby Aviation Inc,2024-11-06,"['5.91%', '-8.94%', '-10.05%', '13.06%', '-0.6%', '3.9%', '10.72%', '-2.21%']",6.92%
KAOCF,KAOCF,2024-11-06,['13.58%'],13.58%
KMBIF,KMBIF,2024-11-06,['0.0%'],0.0%
KMMPF,KMMPF,2024-11-06,['0.0%'],0.0%
KSIOF,KSIOF,2024-11-06,['2.63%'],2.63%
KURRF,KURRF,2024-11-06,['0.0%'],0.0%
KURRY,KURRY,2024-11-06,['0.0%'],0.0%
KLTR,Kaltura Inc,2024-11-06,"['6.09%', '-3.91%', '0.69%', '2.84%', '7.58%', '5.68%', '-1.99%', '10.18%']",4.87%
LILA,Liberty Latin America Ltd - Class A,2024-11-06,"['-8.95%', '4.87%', '-7.57%', '12.52%', '16.55%', '-0.6%', '4.19%', '-10.86%']",8.26%
LILAK,Liberty Latin America Ltd - Class C,2024-11-06,"['-9.25%', '5.01%', '-7.2%', '13.22%', '16.51%', '-0.24%', '3.6%', '-11.04%']",8.26%
LEV,Lion Electric Co (The),2024-11-06,"['-15.89%', '-6.92%', '-12.57%', '4.57%', '-2.49%', '-7.92%', '-3.21%', '13.25%']",8.35%
LPCN,Lipocine Inc,2024-11-06,"['-12.9%', '8.04%', '1.4%', '-1.19%', '-1.57%', '7.14%', '-26.67%', '-5.88%']",8.1%
RAMP,LiveRamp Holdings Inc,2024-11-06,"['-18.91%', '6.0%', '-7.41%', '20.0%', '18.28%', '-11.73%', '-9.25%', '17.09%']",13.58%
LYFT,Lyft Inc Cls A,2024-11-06,"['-17.23%', '7.11%', '35.12%', '-5.97%', '-10.03%', '-19.27%', '-36.44%', '-22.91%']",19.26%
MFA-PB,MFA-PB,2024-11-06,['1.93%'],1.93%
MFA-PC,MFA-PC,2024-11-06,['1.39%'],1.39%
MKKOF,MKKOF,2024-11-06,['0.0%'],0.0%
MKSI,MKS Instruments Inc,2024-11-06,"['6.23%', '3.44%', '5.62%', '0.55%', '-1.14%', '1.93%', '5.15%', '-13.49%']",4.69%
MNDJF,MNDJF,2024-11-06,['8.19%'],8.19%
MNHVF,MNHVF,2024-11-06,['0.0%'],0.0%
MODVF,MODVF,2024-11-06,['0.0%'],0.0%
MPVDF,MPVDF,2024-11-06,"['0.0%', '0.0%', '-5.88%', '2.94%', '9.09%', '-5.26%', '-7.69%', '2.08%']",4.12%
MRETF,MRETF,2024-11-06,['1.46%'],1.46%
MRMD,MRMD,2024-11-06,"['3.55%', '-5.17%', '-2.08%', '-0.31%', '-4.44%', '4.21%', '1.14%', '-0.78%']",2.71%
MRVCF,MRVCF,2024-11-06,['0.0%'],0.0%
MRVSY,MRVSY,2024-11-06,['15.56%'],15.56%
MAC,Macerich Company,2024-11-06,"['-4.3%', '-14.05%', '2.11%', '-0.41%', '0.23%', '-3.02%', '-3.2%', '1.49%']",3.6%
NEWH,NEWH,2024-11-06,['-9.52%'],9.52%
NFPDF,NFPDF,2024-11-06,['0.0%'],0.0%
NFYEF,NFYEF,2024-11-06,['8.26%'],8.26%
NHNKF,NHNKF,2024-11-06,['0.0%'],0.0%
NMIH,NMI Holdings Inc - Class A,2024-11-06,"['0.38%', '2.56%', '-1.68%', '1.49%', '5.27%', '1.67%', '0.8%', '1.53%']",1.92%
NNXPF,NNXPF,2024-11-06,['-0.17%'],0.17%
NSHBY,NSHBY,2024-11-06,['0.0%'],0.0%
